origin,dest,passengers,fare,season
JFK,LAX,3512.9,515,jkklllhhkmm
LGA,ORD,3043.5,203,nnnpmidehkn
LAX,SFO,2863.1,152,jlkmkjhkkkm
EWR,MCO,2503.4,179,ijfjlnkloni
JFK,SFO,2338.5,479,kllmlkggjln
LGA,MCO,2178.4,167,jlgjkllmlmi
LGA,MIA,2168.5,235,hihijnmnnlj
MCO,PHL,2141.8,174,ikhjklklnmj
DEN,PHX,2133.6,171,hhimmlimpkk
ATL,LGA,2115.6,227,mklnlnfhijm
EWR,LAX,2088.4,391,lmkmmpfgkih
MCO,ORD,2008.3,189,kihljkinqki
HNL,OGG,2006.0,95,pnikilikijj
LAS,LAX,1950.8,124,mnmlkkjkjhh
LAX,ORD,1944.7,272,qolmllcdkjl
EWR,SFO,1888.4,543,lklmkkeflmo
MCO,SJU,1863.2,177,qkhklnkijij
ATL,FLL,1796.4,137,kgfiloimnnk
HNL,LAX,1795.6,313,soijimfgkkk
FLL,LGA,1756.6,185,gifilolnomi
DFW,LGA,1755.4,275,mjknmnffkkl
BOS,MCO,1747.0,203,gieijnkpmsi
BOS,ORD,1744.2,183,ppmqlhbchko
PHX,SEA,1734.0,199,jiijjmhmook
LAS,SFO,1697.3,166,jkklkljkill
EWR,FLL,1690.6,192,hidilpnoplf
ATL,EWR,1690.2,183,lkkllmgiklk
SAN,SFO,1673.7,155,nmkollfhiji
DEN,LAS,1669.3,172,jikmjkijmll
DFW,ORD,1667.6,217,mklmlkdhkmn
DTW,MCO,1641.1,199,hieijnjrrmf
LAX,SEA,1619.8,207,oojjjkeijmm
ORD,SFO,1619.2,316,rplmjicejko
JFK,MCO,1611.6,171,mmgiloijkni
BOS,DCA,1592.2,180,ikloljdglmo
BOS,SFO,1588.7,393,pnlnjjdfhln
ATL,MCO,1579.5,178,lhjmjkhmknk
ATL,DFW,1569.2,207,kjjnljflllj
ORD,PHX,1562.7,247,gfgkjlhnunk
BOS,LAX,1558.2,370,onjmklfhjkl
SEA,SFO,1536.4,211,oomlkjeiikl
LAS,SEA,1530.8,186,lljkjkhjjnn
EWR,ORD,1509.8,210,lllmmldfklo
LAS,ORD,1478.9,240,kkoniggjmll
DEN,ORD,1474.6,205,qqoohidgjhm
DFW,LAX,1471.3,242,rmkolkfhjhh
ATL,MIA,1425.7,174,kghklnillml
HNL,KOA,1423.6,97,pnjlilikjii
DEN,LAX,1418.8,182,lkjmjmhikjn
ATL,ORD,1418.2,209,qolnihehikl
LAX,MCO,1374.8,279,mjijlmjjlmk
DFW,MCO,1367.0,206,lgilkmikmll
HNL,LIH,1351.8,96,pnjkjkijiij
